"Id","Title","Time","Description","Link"
"44","Preview | Liverpool&#039;s problems dwarfed by Man United&#039;s ahead of Old Trafford clash ","1660830120000","Liverpool has started the season with two draws, while Manchester United has suffered two losses ahead of their clash at Old Trafford","https://www.thehindu.com/sport/football/preview-liverpools-problems-dwarfed-by-man-uniteds-ahead-of-old-trafford-clash/article65783674.ece"
"45","LeBron James’ new $97-million LA Lakers extension could make him highest-paid player in NBA history ","1660828362000","Four-time NBA MVP LeBron James extends his stay with the Los Angeles Lakers, with whom he won the 2020 NBA championship. The new $97 million deal reportedly makes him the highest-paid player in NBA history","https://www.thehindu.com/sport/other-sports/lebron-james-new-97-million-la-lakers-extension-could-make-him-highest-paid-player-in-nba-history/article65783460.ece"
"46","Eight top weightlifters to train in USA ","1660827485000","Ahead of the World championships in Paris in December","https://www.thehindu.com/sport/weightlifting-training/article65783631.ece"
"47","Chopin, Snowfall and Market King show out ","1660826514000","","https://www.thehindu.com/sport/races/chopin-snowfall-and-market-king-show-out/article65783596.ece"
"48","Gaikwad wins silver; bronze for Mohit, Jaglan ","1660817425000","","https://www.thehindu.com/sport/other-sports/gaikwad-wins-silver-bronze-for-mohit-jaglan/article65782812.ece"
"49","Zimbabwe vs India, 1st ODI | Deepak Chahar shines on return as India wins by 10 wickets ","1660832106000","Prasidh Krishna (3/50) and Axar Patel (3/24) also got their share of victims to restrict Zimbabwe to 189, before openers Shikhar Dhawan (81) and Shubman Gill (82) chased down the target with ease","https://www.thehindu.com/sport/cricket/zimbabwe-vs-india-1st-odi-india-wins-toss-opts-to-bowl-first/article65782400.ece"
"50","Supreme Court orders status quo on Delhi HC’s direction to handover IOA affairs to CoA ","1660829222000","Centre says appointment of CoA might risk India’s ban from Olympics","https://www.thehindu.com/sport/supreme-court-orders-status-quo-delhi-hc-appointed-coa-not-to-take-over-affairs-of-indian-olympic-association/article65782337.ece"
"51","Team India will give its 100% in T20 World Cup, says Rishabh Pant ","1660811485000","Whole team is slightly nervous as the tournament approaches, admits Pant","https://www.thehindu.com/sport/cricket/india-will-give-our-100-in-t20-world-cup-says-rishabh-pant/article65780811.ece"
"52","Domingo primed to deliver in feature event ","1660741523000","","https://www.thehindu.com/sport/domingo-primed-to-deliver-in-feature-event/article65779397.ece"
"53","Ultimate Kho Kho | Gujarat Giants ease past Mumbai Khiladis ","1660756849000","Gujarat Giants began the match with powerplay, activating their two wazirs, Akshay Bhangare and Abhinandhan Patil","https://www.thehindu.com/sport/ultimate-kho-kho-gujarat-giants-ease-past-mumbai-khiladis/article65780762.ece"
"54","South Africa reduce England to 116-6 before rain ends first day ","1660756573000","Kagiso Rabada, who was an injury doubt going into the game, made an excellent start, dismissing both England openers cheaply","https://www.thehindu.com/sport/cricket/south-africa-reduce-england-to-116-6-before-rain-ends-first-day/article65780763.ece"
"55","IND vs ZIM 1st ODI: All eyes on skipper K.L. Rahul as India get ready to steamroll Zimbabwe ","1660817338000","For Zimbabwe, the aim would be to become the proverbial banana peel on which skipper K.L. Rahul and his men can slip ","https://www.thehindu.com/sport/cricket/1st-odi-all-eyes-on-skipper-kl-rahul-as-india-get-ready-to-steamroll-zimbabwe/article65780705.ece"
"56","FIFA ban of AIFF: Stranded in Tashkent, Gokulam Kerala women get 48-hour extension  ","1660811326000","The team is in Uzbekistan to take part in the AFC Women’s Club championship","https://www.thehindu.com/sport/football/fifas-ban-of-aiff-stranded-in-tashkent-gokulam-kerala-women-get-48-hour-extension/article65780500.ece"
"57","Rohit Sharma is laidback, calm and cautious, says Sourav Ganguly ","1660816123000","Ganguly, who is the Board of Control for Cricket in India (BCCI) president, said he never compared captains","https://www.thehindu.com/sport/cricket/i-dont-compare-captains-ganguly/article65780526.ece"
"58","Cristiano Ronaldo says truth will be revealed over Manchester United future soon   ","1660819401000","“The media is telling lies. I have a notebook and in the last few months of the 100 news (stories) I made, only five were right,” Cristiano Ronaldo wrote on Instagram of the transfer rumours","https://www.thehindu.com/sport/football/cristiano-ronaldo-says-truth-will-be-revealed-over-manchester-united-future-soon/article65780528.ece"
"59","With two personal coaches from Indonesia, Bharath aims for the sky ","1660752534000","The youngster gets a chance to train with Olympic champion Axelsen now and then","https://www.thehindu.com/sport/other-sports/with-two-personal-coaches-from-indonesia-bharath-aims-for-the-sky/article65778914.ece"
"60","BFC gets the better of Jamshedpur ","1660751835000","Odisha runs riot against NorthEast United","https://www.thehindu.com/sport/bfc-gets-the-better-of-jamshedpur/article65779533.ece"
