"Id","Title","Time","Description","Link"
"1","Inflation: Who is benefitting from soaring prices?","1661295829000","Many households are feeling the pinch of higher prices, but which sectors are benefitting from them?","https://www.bbc.co.uk/news/business-62634983?at_medium=RSS&at_campaign=KARANGA"
"2","Three million households waiting for £150 energy rebate","1661295703000","Councils were expected to start making the payments from April but by July many were still waiting.","https://www.bbc.co.uk/news/business-62646695?at_medium=RSS&at_campaign=KARANGA"
"3","Twitter whistleblower raises security concerns","1661293402000","Ex-security chief appears to echo claims by Elon Musk over the number of fake accounts on its site.","https://www.bbc.co.uk/news/technology-62633191?at_medium=RSS&at_campaign=KARANGA"
"4","Eurotunnel Le Shuttle: Passengers stuck for hours inside tunnel","1661321259000","""Several people were freaking out,"" said one traveller, after a Calais to Folkestone train was evacuated.","https://www.bbc.co.uk/news/uk-62655148?at_medium=RSS&at_campaign=KARANGA"
"5","Energy bills: Half of UK households face fuel poverty, EDF warns","1661256864000","People are in for a ""catastrophic winter"" unless the government does more to help, says EDF.","https://www.bbc.co.uk/news/business-62643934?at_medium=RSS&at_campaign=KARANGA"
"6","India tycoon Adani in hostile bid for news channel NDTV","1661316035000","Gautam Adani's move has drawn attention because he is seen as being close to PM Modi.","https://www.bbc.co.uk/news/business-62655446?at_medium=RSS&at_campaign=KARANGA"
"7","Disabled to get cost of living £150 from September","1661216386000","Up to six million people with extra costs will receive the additional cash sum, amid rising prices.","https://www.bbc.co.uk/news/business-62636736?at_medium=RSS&at_campaign=KARANGA"
"8","Port of Felixstowe strike: 'This pay rise makes a big difference'","1661215264000","As industrial action enters a third day, why are union members at the UK's busiest port walking out?","https://www.bbc.co.uk/news/uk-england-suffolk-62634684?at_medium=RSS&at_campaign=KARANGA"
"9","When is the second cost-of-living payment and £400 energy rebate?","1661209618000","More payments to help with the cost of living will be paid later in the year as bills soar.","https://www.bbc.co.uk/news/business-61592496?at_medium=RSS&at_campaign=KARANGA"
"10","What is the energy price cap and how high will bills go?","1661275163000","A typical household bill could be more than £4,500 in January, according to one analyst prediction.","https://www.bbc.co.uk/news/business-58090533?at_medium=RSS&at_campaign=KARANGA"
"11","Energy bills: Customers can't carry cost of Ukraine war, boss says","1661175662000","The government must stop bills being pushed up by the Ukraine war, the boss of Octopus Energy says.","https://www.bbc.co.uk/news/business-62630787?at_medium=RSS&at_campaign=KARANGA"
