"Id","Title","Time","Description","Link"
"1","UK drought: Why do the trees think it's autumn already?","1660954051000","Experts say the unusual weather has triggered a 'false autumn' as trees struggle to cope with drought.","https://www.bbc.co.uk/news/science-environment-62582186?at_medium=RSS&at_campaign=KARANGA"
"2","Robot boat maps Pacific underwater volcano","1660951812000","Uncrewed surface vessel Maxlimer surveys the underwater Hunga-Tonga seamount that erupted in January.","https://www.bbc.co.uk/news/science-environment-62606589?at_medium=RSS&at_campaign=KARANGA"
"3","Food crops made 20% more efficient at harnessing sunlight","1660845915000","Researchers say a genetic modification that boosts plant growth could help alleviate global food shortages.","https://www.bbc.co.uk/news/science-environment-62592286?at_medium=RSS&at_campaign=KARANGA"
"4","Freya the walrus: Did she have to be euthanised?","1660938442000","After becoming a tourist attraction in Oslo, a travelling walrus was killed. Was that right?","https://www.bbc.co.uk/news/world-europe-62556295?at_medium=RSS&at_campaign=KARANGA"
"5","Breakthrough over potentially harmful chemicals found in most homes","1660912285000","US scientists have discovered a low-cost method for destroying chemicals associated with cancer.","https://www.bbc.co.uk/news/science-environment-62561756?at_medium=RSS&at_campaign=KARANGA"
"6","First Native American woman to travel to space","1660827201000","Nasa astronaut Nicole Aunapu Mann will travel to the International Space Station in September.","https://www.bbc.co.uk/news/science-environment-62581401?at_medium=RSS&at_campaign=KARANGA"
"7","Battery power problem cuts short Russian spacewalk, Nasa says","1660823346000","A cosmonaut was rushed back to the International Space Station on Wednesday, the US space agency says.","https://www.bbc.co.uk/news/science-environment-62587424?at_medium=RSS&at_campaign=KARANGA"
"8","Hosepipe ban starts as drought declared in south-west Wales","1660922265000","A drought is officially declared in south-west Wales after heatwave causes water levels to plummet.","https://www.bbc.co.uk/news/uk-wales-62592174?at_medium=RSS&at_campaign=KARANGA"
"9","Mystery of half-billion year old creature with no anus solved","1660781812000","A 500 million-year-old microscopic, spiny creature with a mouth but no anus had puzzled scientists.","https://www.bbc.co.uk/news/science-environment-62580967?at_medium=RSS&at_campaign=KARANGA"
"10","UK drought: Why we need to get used to wonky vegetables","1660782311000","Our produce is likely to be smaller, odd-looking, or even leathery after the hot, dry weather.","https://www.bbc.co.uk/news/science-environment-62575247?at_medium=RSS&at_campaign=KARANGA"
"11","Sewage hits dozens of beaches in England and Wales after heavy rain","1660745553000","Charity issues warning after water firms discharge untreated sewage to avoid potential flooding.","https://www.bbc.co.uk/news/science-environment-62574105?at_medium=RSS&at_campaign=KARANGA"
"12","Climate change: 'Staggering' rate of global tree losses from fires","1660726836000","A report says around 16 football pitches of trees per minute were lost to wildfires in 2021.","https://www.bbc.co.uk/news/science-environment-62569394?at_medium=RSS&at_campaign=KARANGA"
"13","Climate scientists chase Arctic storms","1660182330000","Why climate scientists are trying to fly through Arctic cyclones in a small aircraft.","https://www.bbc.co.uk/news/science-environment-62490130?at_medium=RSS&at_campaign=KARANGA"
